Degree0,XCoordinate0,YCoordinate0,ZCoordinate0,Degree1,XCoordinate1,YCoordinate1,ZCoordinate1
26.1,62.67307116,30.68527582,0,26.1,67.06665788,32.83641374,0
26.21,61.80736932,30.4085914,0,26.21,67.3331557,33.12722159,0
26.32,61.61536773,30.46111935,0,26.32,67.26946432,33.25636536,0
26.44,61.0193374,30.3255744,0,26.44,67.52707498,33.55980946,0
26.55,60.69787238,30.31119082,0,26.55,67.62746351,33.77167717,0
26.66,60.63959686,30.42760741,0,26.66,67.56253495,33.90138451,0
26.77,60.19269373,30.34808542,0,26.77,67.66155031,34.11375005,0
26.89,59.99767105,30.40744648,0,26.89,67.75361266,34.33823872,0
27,59.55488659,30.32681129,0,27,67.85066546,34.55122569,0
27.11,59.36656502,30.37451165,0,27.11,67.78424062,34.68135989,0
27.22,59.05199769,30.35668354,0,27.22,67.71756619,34.81136638,0
27.34,58.98832169,30.48023246,0,27.34,68.13573078,35.20684863,0
27.45,58.67744371,30.46239649,0,27.45,68.23082874,35.42203659,0
27.56,58.61888176,30.57493584,0,27.56,68.16273221,35.55289868,0
27.67,58.43380878,30.62117989,0,27.67,68.0943847,35.68362985,0
27.79,58.24315084,30.67684328,0,27.79,68.01953782,35.82609581,0
27.9,58.18417819,30.78854887,0,27.9,68.27755172,36.1295253,0
28.01,58.1249913,30.90014109,0,28.01,68.5330944,36.43324909,0
28.12,58.06559039,31.01161953,0,28.12,68.46305691,36.56468933,0
28.24,58.00054556,31.13310213,0,28.24,68.87558914,36.97052727,0
28.35,57.94069785,31.24434135,0,28.35,68.96665693,37.19005554,0
28.46,57.88063679,31.35546552,0,28.46,68.89516642,37.32232634,0
28.57,57.94587448,31.53477917,0,28.57,70.08053267,38.13859298,0
28.69,57.87973476,31.65601002,0,28.69,70.32053609,38.46022453,0
28.8,57.94385,31.8356757,0,28.8,70.40589017,38.68260543,0
28.91,58.13371589,32.08537169,0,28.91,70.65230667,38.99467779,0
29.02,58.07204064,32.19686469,0,29.02,70.8963353,39.30703467,0
29.14,58.25394115,32.45733107,0,29.14,70.8138973,39.4553581,0
29.25,58.31899673,32.64038328,0,29.25,70.89844728,39.68093799,0
29.36,58.38111709,32.82242883,0,29.36,71.30066799,40.08592534,0
29.47,58.69707365,33.14845716,0,29.47,71.22361634,40.22266951,0
29.59,58.88074139,33.41494116,0,29.59,71.13926089,40.37167605,0
29.7,58.94362903,33.60032634,0,29.7,71.0616612,40.50810997,0
29.81,59.00787543,33.78713716,0,29.81,70.98379986,40.64439474,0
29.92,59.07134111,33.97415675,0,29.92,71.22465693,40.96398717,0
30.04,59.0000925,34.09773823,0,30.04,71.13874966,41.11299425,0
30.15,47.85792843,27.78102505,0,30.15,71.05972747,41.24942583,0
30.26,47.80453165,27.8728079,0,30.26,70.98044363,41.38570553,0
30.37,47.91052917,28.05793759,0,30.37,71.05913126,41.61449904,0
30.49,48.17399632,28.34782906,0,30.49,71.12954999,41.85594882,0
30.6,48.11951132,28.44021736,0,30.6,71.04910217,41.99236138,0
30.71,48.54829689,28.81948765,0,30.71,70.96839274,42.12861932,0
30.82,48.49290615,28.91259333,0,30.82,70.88742199,42.26472213,0
30.94,48.43227625,29.01404172,0,30.94,70.79879259,42.41302042,0
31.05,49.00230799,29.48344979,0,31.05,70.71727642,42.54879727,0
31.16,49.26635627,29.77123007,0,31.16,70.63549986,42.68441745,0
31.27,49.20913792,29.86571186,0,31.27,71.01548194,43.10028606,0
31.39,49.30569965,30.06572769,0,31.39,70.92510314,43.2488506,0
31.5,49.24791612,30.16028444,0,31.5,70.84198287,43.38486828,0
31.61,49.35315536,30.35511032,0,31.61,70.75860176,43.52072622,0
31.72,49.61923226,30.65015154,0,31.72,70.6749601,43.6564239,0
31.84,49.55496261,30.75395391,0,31.84,70.58341787,43.80427439,0
31.95,49.65687174,30.94934177,0,31.95,70.65485538,44.03662958,0
32.06,49.7600997,31.14641463,0,32.06,70.57022395,44.17212724,0
32.17,50.03084554,31.44966075,0,32.17,70.48533267,44.30746225,0
32.29,50.12798154,31.657313,0,32.29,70.39242802,44.45491436,0
